text,rating,date,sentiment,cluster,cluster_label
"I have a vehicle with comfort access and a Samsung Galaxy S26 Ultra that has UWB, yet I just cannot set up my phone as a digital key. BMW support have confirmed that everything is supported by the car and in my country. So the problem is simply in the app that wouldn't properly support a car from 2020. How ridiculous is that for the premium we paid not only for the vehicle, but also for Connected Drive services.",2,2026-03-07 14:42:54,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
Can't add my e34 and e39 :/,1,2026-03-07 09:50:37,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
The lack of support for Octopus Intelligent Go is frustrating. I can't understand why this has been removed; it's the most popular EV tariff in the UK.,2,2026-03-06 19:38:16,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
"To have my BMW charge overnight in a 'time slot', I have to preprogram a departure time. Why? Why should it be necessary to set a departure time before it will allow me to charge overnight? It makes no sense. Was the software designed by Franz Kafka?",2,2026-03-05 08:46:07,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
"Loss of push notifications issue is now fixed - thank you. Since the January update I am unable to schedule service items from nominated or other dealers - ""No services or repairs available. We are currently unable to retrieve available services or repair""",2,2026-03-04 01:13:00,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
"Very bad experience, like these guys are from the Neaderthal compared to the current times. App goes în a loop when adding a new vehicle and bringing me to the same menu, without completing the add. Really really bad! Also a lot of other poorly developed functionalities. Long delay to activate car functions, sometimes no response. Bad.",1,2026-03-03 22:36:08,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
Changelog where?,1,2026-03-02 14:18:48,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
It's a very slow response.,1,2026-02-28 22:26:09,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
"good when it works properly, at the moment I can't even log in",2,2026-02-25 14:22:24,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
I was trying to download it's difficult. then I didn't continue.,1,2026-02-17 16:23:39,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
